открыть<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=21784&size=m277x260">;otwórzyć<br><br>Otworzyłam słoik dżemu. Ktoś zapukał, więc otworzyła drzwi.
закрыть<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=22035&size=m277x260">;zamknąć<br><br>Przed wyjściem z domu zamknij okna, bo może padać.
двери<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=5522&size=m277x260">;drzwi<br><br>Nie zapomnij zamknąć drzwi, kiedy będziesz wychodził.
туалет<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=3788&size=m277x260">;toaleta<br><br>Toaleta jest niezbędna w każdym mieszkaniu.
шина<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=18960&size=m277x260">;szyny<br><br>Tramwaj jedzie po szynach.
драгоценный<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=21675&size=m277x260">;cenny<br><br>Ten obraz jest cenny.
сонный<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=18413&size=m277x260">;senny<br><br>Nie spałem całą noc i jestem bardzo senny.
сын<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=6085&size=m277x260">;syna<br><br>Ta para ma dwóch synów.
олово<br>;cyna<br><br>Cyna to metal w kolorze białym.
оконное стекло<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=21930&size=m277x260">;szyba<br><br>Możesz umyć szyby w samochodzie?
седой<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=2622&size=m277x260">;siwa<br><br>Dziś zobaczyłam pierwszy siwy włos na swojej głowie.
чары<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=21684&size=m277x260">;czar<br><br>Ta dziewczyna ma czar i wdzięk osobisty.
серый<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=21922&size=m277x260">;szary<br><br>Mój kot jest szary.
мак<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=19076&size=m277x260">;maczek<br><br>Maczek to kwiat polny.
Мачек<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=18750&size=m277x260">;maciek<br><br>Maciek to mój brat.
дочка<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=9381&size=m277x260">;córka<br><br>Moi rodzice mają dwie córki: mnie i moją siostrę.
лисичка<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=3359&size=m277x260">;kurka<br><br>Kurka to rodzaj grzyba.
весь / целый<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=22373&size=m277x260">;cała<br><br>Zjadłam cały placek.
тело<br><img src="http://e-polish.eu/img.php?action=EpolishFile_img&fileID=1941&size=m277x260">;ciała<br><br>Ciało ludzkie zmienia się z wiekiem.
цитата<br>;cytat<br><br>Znam wiele cytatów znanych ludzi.
